Vendor,API functionality for bookings,API included in system costs,API Reporting,W3C standards,WCAG 2.2 level AA,Channel Managers,Marketplace,B2B agent portal,Creation and tracking of affiliate sales,Product Information management and updates,Back Office booking functionality,Customised schedule/availability,Specific Days/Dates bookable,Specific time slots bookable,Manual Slot Management,Seating plans/Allocated seating,Etickets & Scanning,Gift Vouchers,Upselling,Separate merchandise/online store/stock control,Integrated Payment Solution,Flexible Donations,CRM,E-communications/marketing,Memberships,Verified Reviews,Rule-based Pricing,Resource Management,Waivers,Offline Functionality,Reporting,Reporting - Quantity and Revenue split by source,Custom Reporting,Custom Reporting Charges,GA4 Tracking,Google Tag Manager,Google Ads,System Licenses,License Cost,Website Integration,Customisation,Continuing Support,SLA,Business Continuity/Disaster Recovery,Cloud Infrastructure,Culturehost Connection
Retail Integration Ltd,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Rezgo,Yes,Yes,Yes,No,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
ROLLER,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SECUTIX,Yes,Yes,Yes,Yes,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not Provided,Yes,No
SiEntries Ltd,No,No,No,No,Not Provided,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Not Provided,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No
Smeetz,Yes,Yes,Yes,Yes,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Provided,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not Provided,Yes,No
Spektrix,Yes,Yes,No,No,Not Provided,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Not Provided,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not Provided,Yes,No
Tessitura Network,Yes,Yes,Yes,Yes,Not Provided,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Not Provided,Yes,No
Ticket Tailor,Yes,Yes,Yes,Yes,Not Provided,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Not Provided,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Not Provided,Yes,No
TicketingHub,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Ticketmaster / Universe,Yes,Yes,Yes,No,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Not Provided,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
Ticketsolve,Yes,Yes,No,Yes,Not Provided,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Not Provided,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not Provided,Yes,No
